Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
445,6,02/03/2018 08:48:35,234228,3,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,17.0773776,78076.0,131265.8661,229627.0,76.0,234228.0,117114.0,159224.8908,229703.0,4525.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,68,28,12.8080332,4.269344399,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
443,6,02/03/2018 08:47:40,60860062,15,13,870,3306.0,535,0,58.0,144.6315516,1460,0,254.3076923,538.4357567,68.61642698,0.460071828,2254076.37,4220283.566,10000000.0,1.0,60900000.0,4347147.286,5134036.59,10100000.0,2138.0,60800000.0,5065870.5,5234966.454,10100000.0,1.0,0,0,0,0,312,264,0.246467051,0.213604777,0,1460,144.0,380.8669621,145059.6429,0,0,1,1,0,0,0,1,0,149.1428571,58.0,254.3076923,0,0,0,0,0,0,15,870,13,3306,8192,31088,9,20,130201.6667,148831.6544,434003.0,69408.0,10000000.0,16330.68406,10000000.0,9968389.0,Benign
49687,6,02/03/2018 08:48:41,68899,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,29.0279975,68899.0,0.0,68899.0,68899.0,68899.0,68899.0,0.0,68899.0,68899.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,29.0279975,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,31088,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
0,0,02/03/2018 08:47:31,119250445,72,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.603771332,1679583.732,2528448.202,20100000.0,170801.0,119000000.0,1679583.732,2528448.202,20100000.0,170801.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.603771332,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,72,0,0,0,-1,-1,0,0,46400000.0,20900000.0,61100000.0,31600000.0,13300000.0,9720570.758,20100000.0,6381385.0,Benign
443,6,02/03/2018 08:47:38,116185749,21,18,749,4567.0,389,0,35.66666667,94.42422006,1460,0,253.7222222,516.5058858,45.75432052,0.335669394,3057519.711,4582223.965,10000000.0,0.0,116000000.0,5809287.45,4929086.208,10000000.0,28.0,111000000.0,6505413.0,4920453.778,10000000.0,0.0,0,0,0,0,432,504,0.180745059,0.154924336,0,1460,132.9,364.8855669,133141.4769,0,0,1,1,0,0,0,1,0,136.3076923,35.66666667,253.7222222,0,0,0,0,0,0,21,749,18,4567,8192,980,15,20,46760.16667,89026.69707,329454.0,20847.0,9635383.25,1279465.907,10000000.0,5572867.0,Benign
443,6,02/03/2018 08:48:36,60602600,13,14,338,3264.0,207,0,26.0,64.51227273,1460,0,233.1428571,522.5606858,59.43639382,0.44552544,2330869.231,4280721.113,10000000.0,0.0,60600000.0,5050216.667,5223517.717,10100000.0,637.0,60500000.0,4656495.385,5204710.91,10100000.0,0.0,0,0,0,0,272,284,0.214512249,0.231013191,0,1460,128.6428571,380.3625185,144675.6455,0,0,1,1,0,0,0,1,1,133.4074074,26.0,233.1428571,0,0,0,0,0,0,13,338,14,3264,8192,48180,7,20,106008.1667,92770.95438,295376.0,68039.0,9994401.5,23886.95478,10000000.0,9959152.0,Benign
80,6,02/03/2018 08:47:40,116690356,17,16,883,1576.0,436,0,51.94117647,144.5551238,788,0,98.5,269.1532401,21.07286398,0.28279972,3646573.625,4802617.578,10000000.0,16.0,117000000.0,7292436.0,4410906.134,10000000.0,143.0,117000000.0,7778611.133,4123216.976,10000000.0,528.0,0,0,0,0,352,464,0.145684704,0.137115016,0,788,72.32352941,209.2010372,43765.07398,0,0,1,1,0,0,0,1,0,74.51515152,51.94117647,98.5,0,0,0,0,0,0,17,883,16,1576,8192,290,13,20,22699.66667,26978.00882,88621.0,11223.0,9700548.333,1014536.434,10000000.0,6479791.0,Benign
80,6,02/03/2018 08:47:38,119731397,17,16,597,768.0,293,0,35.11764706,97.06433585,384,0,48.0,131.1609698,11.40051845,0.275616929,3741606.156,4889656.525,10000000.0,17.0,120000000.0,7482496.75,4439470.787,10000000.0,564.0,120000000.0,7981337.0,4130418.387,10000000.0,303.0,0,0,0,0,352,464,0.141984479,0.133632451,0,384,40.14705882,111.7112437,12479.40196,0,0,1,1,0,0,0,1,0,41.36363636,35.11764706,48.0,0,0,0,0,0,0,17,597,16,768,8192,980,13,20,22859.0,26715.60238,82791.0,11324.0,9953803.333,138400.2774,10000000.0,9520409.0,Benign
443,6,02/03/2018 08:47:38,118281864,36,83,1022,108156.0,250,0,28.38888889,64.57344778,1460,0,1303.084337,429.7638661,923.0324608,1.006071396,1002388.678,7643655.563,59000000.0,0.0,118000000.0,3379481.829,13900000.0,59000000.0,133.0,118000000.0,1441514.171,9159139.287,59000000.0,0.0,0,0,0,0,732,1672,0.304357733,0.701713663,0,1460,909.8166667,691.633871,478357.4115,0,0,1,1,0,0,0,1,2,917.4621849,28.38888889,1303.084337,0,0,0,0,0,0,36,1022,83,108156,8192,131,8,20,134521.0,79961.04903,191062.0,77980.0,59000000.0,44452.97491,59000000.0,58900000.0,Benign
443,6,02/03/2018 08:50:29,192,3,0,77,0.0,46,0,25.66666667,23.45918441,0,0,0.0,0.0,401041.6667,15625.0,96.0,110.3086579,174.0,18.0,192.0,96.0,110.3086579,174.0,18.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,60,0,15625.0,0.0,0,46,30.75,21.68524844,470.25,0,1,0,0,1,0,0,0,0,41.0,25.66666667,0.0,0,0,0,0,0,0,3,77,0,0,256,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
49685,6,02/03/2018 08:50:29,30,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,66666.66667,30.0,0.0,30.0,30.0,30.0,30.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,66666.66667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,131,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
123,17,02/03/2018 08:48:22,64031632,2,2,96,96.0,48,48,48.0,0.0,48,48,48.0,0.0,2.998517982,0.062469125,21300000.0,36900000.0,64000000.0,18132.0,64000000.0,64000000.0,0.0,64000000.0,64000000.0,64000000.0,64000000.0,0.0,64000000.0,64000000.0,0,0,0,0,16,16,0.031234562,0.031234562,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,0,0,0,0,0,0,2,96,2,96,-1,-1,1,8,18132.0,0.0,18132.0,18132.0,64000000.0,0.0,64000000.0,64000000.0,Benign
80,6,02/03/2018 08:49:47,45889454,6,5,5,0.0,1,0,0.833333333,0.40824829,0,0,0.0,0.0,0.108957496,0.239706491,4588945.4,4984088.031,10000000.0,11258.0,45900000.0,9177890.8,1872590.544,10000000.0,5828099.0,40100000.0,10000000.0,118.3328638,10000000.0,10000000.0,0,0,0,0,120,160,0.130748995,0.108957496,0,1,0.5,0.522232968,0.272727273,0,0,0,0,1,0,0,0,0,0.545454545,0.833333333,0.0,0,0,0,0,0,0,6,5,5,0,256,290,4,20,11343.75,93.21793461,11474.0,11258.0,10000000.0,93.3702308,10000000.0,10000000.0,Benign
80,6,02/03/2018 08:49:48,45686320,6,5,5,0.0,1,0,0.833333333,0.40824829,0,0,0.0,0.0,0.109441951,0.240772292,4568632.0,4978893.581,10000000.0,11319.0,45700000.0,9137264.0,1963428.681,10000000.0,5624976.0,40100000.0,10000000.0,20.43485584,10000000.0,10000000.0,0,0,0,0,120,160,0.131330341,0.109441951,0,1,0.5,0.522232968,0.272727273,0,0,0,0,1,0,0,0,0,0.545454545,0.833333333,0.0,0,0,0,0,0,0,6,5,5,0,253,980,4,20,11404.0,63.95310782,11472.0,11346.0,10000000.0,59.46988033,10000000.0,10000000.0,Benign
445,6,02/03/2018 08:50:53,278701,3,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,14.3522987,92900.33333,160856.1386,278641.0,0.0,278701.0,139350.5,197071.367,278701.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,32,10.76422403,3.588074675,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
445,6,02/03/2018 08:51:08,177928,3,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,22.48100355,59309.33333,102497.3105,177663.0,56.0,177928.0,88964.0,125518.5247,177719.0,209.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,32,16.86075266,5.620250888,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
443,6,02/03/2018 08:51:22,139995,9,8,511,4855.0,194,0,56.77777778,83.27781484,1460,0,606.875,711.3017117,38329.94036,121.4329083,8749.6875,15837.99355,55617.0,1.0,139995.0,17499.375,19158.26772,55617.0,16.0,90855.0,12979.28571,27145.93809,72846.0,1.0,0,0,0,0,192,172,64.28801029,57.14489803,0,1460,298.1111111,540.8522565,292521.1634,0,0,1,1,0,0,0,1,0,315.6470588,56.77777778,606.875,0,0,0,0,0,0,9,511,8,4855,8192,30,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
49728,6,02/03/2018 08:51:22,247,2,1,38,0.0,38,0,19.0,26.87005769,0,0,0.0,0.0,153846.1538,12145.74899,123.5,150.6137444,230.0,17.0,247.0,247.0,0.0,247.0,247.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,20,8097.165992,4048.582996,0,38,19.0,21.93931023,481.3333333,0,1,0,0,1,0,0,0,0,25.33333333,19.0,0.0,0,0,0,0,0,0,2,38,1,0,31,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
443,6,02/03/2018 08:51:22,156775,9,8,511,4856.0,194,0,56.77777778,83.27781484,1460,0,607.0,711.2096336,34233.77452,108.4356562,9798.4375,18712.04258,69099.0,0.0,156775.0,19596.875,23224.59527,69099.0,15.0,106166.0,15166.57143,32269.01258,86868.0,0.0,0,0,0,0,192,172,57.4071121,51.02854409,0,1460,298.1666667,540.8359814,292503.5588,0,0,1,1,0,0,0,1,0,315.7058824,56.77777778,607.0,0,0,0,0,0,0,9,511,8,4856,8192,30,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
49729,6,02/03/2018 08:51:22,137,2,1,38,0.0,38,0,19.0,26.87005769,0,0,0.0,0.0,277372.2628,21897.81022,68.5,77.07463915,123.0,14.0,137.0,137.0,0.0,137.0,137.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,20,14598.54015,7299.270073,0,38,19.0,21.93931023,481.3333333,0,1,0,0,1,0,0,0,0,25.33333333,19.0,0.0,0,0,0,0,0,0,2,38,1,0,31,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
443,6,02/03/2018 08:51:22,171900,9,8,511,4856.0,194,0,56.77777778,83.27781484,1460,0,607.0,711.2096336,31221.64049,98.89470622,10743.75,20546.40007,77116.0,0.0,171900.0,21487.5,25513.67466,77116.0,15.0,118173.0,16881.85714,35004.20308,94125.0,0.0,0,0,0,0,192,172,52.35602094,46.53868528,0,1460,298.1666667,540.8359814,292503.5588,0,0,1,1,0,0,0,1,0,315.7058824,56.77777778,607.0,0,0,0,0,0,0,9,511,8,4856,8192,30,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
49731,6,02/03/2018 08:51:22,15,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,133333.3333,15.0,0.0,15.0,15.0,15.0,15.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,133333.3333,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,31,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
443,6,02/03/2018 08:51:23,62670,9,7,557,3773.0,206,0,61.88888889,88.34371008,1460,0,539.0,655.4329358,69092.06957,255.3055689,4178.0,5949.235125,16491.0,1.0,62670.0,7833.75,7116.47898,19003.0,18.0,44059.0,7343.166667,10684.85606,24747.0,1.0,0,0,0,0,192,152,143.6093825,111.6961864,0,1460,254.7058824,474.6863128,225327.0956,0,0,1,1,0,0,0,1,0,270.625,61.88888889,539.0,0,0,0,0,0,0,9,557,7,3773,8192,119,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
49733,6,02/03/2018 08:51:23,10593,2,1,38,0.0,38,0,19.0,26.87005769,0,0,0.0,0.0,3587.274615,283.2058907,5296.5,7469.16893,10578.0,15.0,10593.0,10593.0,0.0,10593.0,10593.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,20,188.8039271,94.40196356,0,38,19.0,21.93931023,481.3333333,0,1,0,0,1,0,0,0,0,25.33333333,19.0,0.0,0,0,0,0,0,0,2,38,1,0,123,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
443,6,02/03/2018 08:51:23,325271,9,6,524,2879.0,206,0,58.22222222,86.00403737,1430,0,479.8333333,624.5146649,10462.04549,46.11539301,23233.64286,37578.35994,94696.0,1.0,325271.0,40658.875,42685.03702,95005.0,18.0,230254.0,46050.8,64466.4917,134995.0,1.0,0,0,0,0,192,132,27.66923581,18.4461572,0,1430,212.6875,424.0628442,179829.2958,0,0,1,1,0,0,0,1,0,226.8666667,58.22222222,479.8333333,0,0,0,0,0,0,9,524,6,2879,8192,242,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
49739,6,02/03/2018 08:51:23,17222,2,1,38,0.0,38,0,19.0,26.87005769,0,0,0.0,0.0,2206.480084,174.1957961,8611.0,12150.92293,17203.0,19.0,17222.0,17222.0,0.0,17222.0,17222.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,20,116.1305307,58.06526536,0,38,19.0,21.93931023,481.3333333,0,1,0,0,1,0,0,0,0,25.33333333,19.0,0.0,0,0,0,0,0,0,2,38,1,0,246,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
443,6,02/03/2018 08:51:23,309608,9,6,522,2877.0,204,0,58.0,85.57598962,1430,0,479.5,624.1204211,10978.39849,48.44836051,22114.85714,40812.23305,97540.0,2.0,309608.0,38701.0,48687.24896,97799.0,16.0,211852.0,42370.4,58138.05713,113739.0,2.0,0,0,0,0,192,132,29.0690163,19.3793442,0,1430,212.4375,423.7876778,179595.9958,0,0,1,1,0,0,0,1,0,226.6,58.0,479.5,0,0,0,0,0,0,9,522,6,2877,8192,172,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
49745,6,02/03/2018 08:51:24,96328,2,1,38,0.0,38,0,19.0,26.87005769,0,0,0.0,0.0,394.4855078,31.14359272,48164.0,68088.72617,96310.0,18.0,96328.0,96328.0,0.0,96328.0,96328.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,20,20.76239515,10.38119757,0,38,19.0,21.93931023,481.3333333,0,1,0,0,1,0,0,0,0,25.33333333,19.0,0.0,0,0,0,0,0,0,2,38,1,0,176,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
443,6,02/03/2018 08:51:24,116036,9,6,520,3062.0,202,0,57.77777778,85.15100965,1430,0,510.3333333,663.8550042,30869.73008,129.2702265,8288.285714,11006.59293,34508.0,1.0,116036.0,14504.5,13578.109,34508.0,17.0,83410.0,16682.0,21805.46668,53025.0,1.0,0,0,0,0,192,132,77.56213589,51.70809059,0,1430,223.875,451.0940589,203485.85,0,0,1,1,0,0,0,1,0,238.8,57.77777778,510.3333333,0,0,0,0,0,0,9,520,6,3062,8192,172,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
49748,6,02/03/2018 08:51:24,390,2,1,38,0.0,38,0,19.0,26.87005769,0,0,0.0,0.0,97435.89744,7692.307692,195.0,251.7300141,373.0,17.0,390.0,390.0,0.0,390.0,390.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,20,5128.205128,2564.102564,0,38,19.0,21.93931023,481.3333333,0,1,0,0,1,0,0,0,0,25.33333333,19.0,0.0,0,0,0,0,0,0,2,38,1,0,176,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
53,17,02/03/2018 08:47:40,1405,1,1,35,83.0,35,35,35.0,0.0,83,83,83.0,0.0,83985.76512,1423.487544,1405.0,0.0,1405.0,1405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,711.7437722,711.7437722,35,83,51.0,27.71281292,768.0,0,0,0,0,0,0,0,0,1,76.5,35.0,83.0,0,0,0,0,0,0,1,35,1,83,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80,6,02/03/2018 08:51:25,23880,3,5,428,2267.0,428,0,142.6666667,247.1059152,1460,0,453.4,662.3804043,112855.9464,335.0083752,3411.428571,5587.879021,11607.0,0.0,11771.0,5885.5,8111.221887,11621.0,150.0,12273.0,3068.25,5780.139351,11730.0,0.0,0,0,0,0,72,112,125.6281407,209.3802345,0,1460,299.4444444,519.498583,269878.7778,0,0,1,1,0,0,0,1,1,336.875,142.6666667,453.4,0,0,0,0,0,0,3,428,5,2267,8192,237,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80,6,02/03/2018 08:51:25,177,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,11299.43503,177.0,0.0,177.0,177.0,177.0,177.0,0.0,177.0,177.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,11299.43503,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,256,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
